JURISDICTION,SEX,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,,,,,,,,
,,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Total Admissions,Total Releases,Difference,%,% point diff,AVG Prison Pop.,AVG Parole Violators,AVG % Violators / Pop.
,Male,4576,"5,658","1,004","16,949",4978,"6,026",945,"17,749",5380,"5,890","1,036","19,026",4950,"6,527","1,021","18,298",5009,"6,490",997,"18,009",4957,"6,249","1,013","17,953",5324,"5,924","1,019","18,972",5105,"6,035","1,331","19,428",4942,"6,245","1,008","19,159",4654,"6,647","1,045","18,381",4673,"5,969",935,"18,075",4469,"6,321",837,"17,090",4384,"5,870",722,"16,312",4238,"5,054",754,"16,328",4234,"5,721",814,"15,510",4225,"5,681",740,"14,695",3689,"5,349",570,"13,892"," 	79,787 ","101,656"," 	(21,869)",127.41%,-0.30," 	17,402 ",929,5%
,Female,373,634,128,"1,406",438,643,115,"1,447",512,646,117,"1,694",412,706,120,"1,548",414,621,93,"1,488",417,568,78,"1,489",403,542,93,"1,594",411,542,78,"1,496",393,572,69,"1,502",344,630,79,"1,335",324,547,83,"1,246",349,503,71,"1,234",327,547,78,"1,218",359,444,73,"1,235",298,407,65,"1,126",257,410,69,"1,121",313,423,65,"1,065"," 	6,344 ","9,385"," 	(3,041)",147.94%,0.07," 	1,367 ",87,6%
Delaware ,Total,1454,"2,287",872,"6,921",1377,"2,369",849,"7,003",2642,"4,155",710,"6,778",1414,"2,211",656,"6,794",1134,"2,106",498,"6,927",991,"1,583",399,"6,944",1110,"1,478",402,"7,186",1386,"1,912",467,"7,257",1175,"1,621",291,"7,057",1283,"1,705",248,"6,775",1295,"1,686",276,"6,615",2714,"3,611",302,"6,739",2610,"4,022",389,"6,914",2798,"4,264",321,"7,004",2711,"4,230",610,"6,955",2435,"4,272",684,"6,654",2337,"4,049",729,"6,585"," 	30,866 ","47,561"," 	(16,695)",154.09%,-0.02," 	6,889 ",512,7%
,Male,1276,"2,024",754,"6,324",1187,"2,049",749,"6,412",2349,"3,640",618,"6,236",1272,"1,908",544,"6,286",1028,"1,826",426,"6,370",921,"1,417",339,"6,389",1029,"1,293",318,"6,615",1267,"1,614",376,"6,682",1077,"1,378",220,"6,502",1157,"1,483",196,"6,284",1155,"1,509",245,"6,149",2298,"3,034",244,"6,202",2195,"3,343",307,"6,348",2329,"3,535",249,"6,405",2246,"3,454",477,"6,361",2056,"3,520",511,"6,117",1955,"3,311",559,"6,047"," 	26,797 ","40,338"," 	(13,541)",150.53%,-0.07," 	6,337 ",420,7%
,Female,178,263,118,597,190,320,100,591,293,515,92,542,142,303,112,508,106,280,72,557,70,166,60,555,81,185,84,571,119,298,91,575,98,243,71,555,126,222,52,491,140,177,31,466,416,577,58,537,415,679,82,566,469,729,72,599,465,776,133,594,379,752,173,537,382,738,170,538," 	4,069 ","7,223"," 	(3,154)",177.51%,0.37, 	552 ,92,17%
District of Columbia ,Total,868,"3,350",635,"10,352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	868 ,"3,350"," 	(2,482)",385.94%,2.30, 	609 ,37,6%
,Male,782,"3,266",558,"9,996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	782 ,"3,266"," 	(2,484)",417.65%,2.60, 	588 ,33,6%
,Female,86,84,77,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	86 ,84, 	2 ,97.67%,-0.43, 	21 ,5,22%
Florida ,Total,25126,"34,127","2,212","71,319",24918,"34,119","2,102","72,404",26557,"33,827","2,072","75,210",29696,"34,785","2,046","82,012",30299,"37,044","2,373","85,533",33107,"42,348",496,"89,768",36155,"35,598",134,"92,969",32253,"28,705",246,"98,219",39997,"37,277",116,"102,388",37151,"37,167",121,"103,915",31986,"32,768",90,"104,306",32358,"34,673",101,"103,055",31129,"33,661",119,"101,930",32373,"32,855",105,"103,028",30984,"32,754",114,"102,870",29667,"32,690",106,"101,424",28236,"31,166",99,"99,974"," 	531,992 ","585,564"," 	(53,572)",110.07%,-0.46," 	93,548 ",744,1%
,Male,22772,"31,255","2,136","67,214",22513,"31,057","2,022","68,122",23925,"30,732","2,003","70,615",26648,"31,466","1,978","76,847",27003,"33,342","2,281","79,873",29362,"38,052",461,"83,615",32025,"31,673",128,"86,480",28714,"25,487",241,"91,365",35439,"32,950",112,"95,237",33100,"33,036",119,"96,632",28247,"29,129",89,"96,956",28699,"30,709",100,"95,913",27551,"29,866",119,"94,945",28475,"29,181",105,"95,757",27151,"28,898",111,"95,567",26137,"28,734",104,"94,481",24776,"27,555",97,"93,111"," 	472,537 ","523,122"," 	(50,585)",110.70%,-0.47," 	87,219 ",718,1%
